Date,Open,High,Low,Close,Adj Close,Volume,sma_5,sma_20,sma_50,ema_12,ema_26,macd,macd_signal,macd_hist,rsi,lowest_low,highest_high,stoch_k,stoch_d,bb_middle,bb_upper,bb_lower,atr,daily_ret_lagged,obv,vwap,roc_5,roc_20,price_volatility,volume_volatility
2020-12-16,213.38999938964844,214.3300018310547,209.22999572753903,210.30999755859372,204.59474182128903,2930100,207.1844268798828,202.72547760009766,184.88932159423828,204.90493528395228,198.4856786922111,6.419256591741174,7.262994234969771,-0.8437376432285966,61.65552784840416,203.9199981689453,216.6999969482422,34.66264700614889,32.36068124627,202.72547760009766,210.80770641797903,194.6432487822163,7.671280997140065,0.010951241642452869,66480400,153.4031233820333,0.9902495693401292,2.6751108231623855,4.04111440894069,1033947.9484506288
2020-12-17,210.9499969482422,211.94000244140625,210.0,211.94000244140625,206.1804656982422,2148300,206.8089111328125,202.96771011352538,185.74927490234376,204.85721321277333,198.93820188695761,5.919011325815717,7.094246706324052,-1.1752353805083349,54.2987527399981,203.9199981689453,216.6999969482422,5.279684794937393,18.981593138718086,202.96771011352538,210.9644094647823,194.97101076226846,7.668530055454801,-0.0180232507895981,64332100,153.39549534461995,-0.909360988576946,2.42535571868594,3.9983496756284587,1032209.2475926527
2020-12-18,212.2899932861328,212.50999450683597,208.6199951171875,210.0399932861328,204.3321075439453,6686200,206.80307312011718,203.49449310302734,186.5506982421875,205.06079051823008,199.4746658729787,5.586124645251374,6.859199630222385,-1.2730749849710108,54.14885238379153,205.92999267578125,216.6999969482422,17.687541042325833,19.209957614470706,203.49449310302734,210.8199507827056,196.16903542334907,7.797013419015071,0.00775056026776233,71018300,154.59995263988623,-0.01415552698962319,5.385095577228061,3.6627288398391378,1004941.241160005
2020-12-21,205.6300048828125,211.16000366210935,204.8500061035156,210.66000366210935,204.9352264404297,2467500,205.91002197265624,203.85054702758788,187.2719696044922,204.94868544526318,199.83447636712438,5.114209078138799,6.604584633228183,-1.4903755550893836,61.375462386356766,204.8500061035156,216.6999969482422,-14.836439163926366,2.7102622244456196,203.85054702758788,210.55608689071613,197.14500716445963,7.466748918805804,-0.008964758848697407,68550800,153.99121124069936,-2.138559446888222,3.6108926186408707,3.35276993156413,1300727.8798204127
2020-12-22,210.57000732421875,211.2100067138672,207.8500061035156,207.94000244140625,202.2891540527344,2019600,205.67848510742186,204.27177963256835,187.9936831665039,204.94661482913494,200.21230970588775,4.734305123247196,6.306509522210306,-1.5722043989631098,58.83517215579089,204.8500061035156,216.6999969482422,0.7191595169207674,1.1900871317734112,204.27177963256835,210.0270124972556,198.5165467678811,7.311835152762279,0.0029516599409353805,70570400,154.02405601772625,-0.5617293296822701,4.2871240531809685,2.877616432343634,1297400.1675821173
2020-12-23,209.6100006103516,212.13999938964844,209.2400054931641,209.9900054931641,204.2834625244141,2046700,204.46633911132812,204.435213470459,188.64349731445313,204.5377747096887,200.3661500278764,4.171624681812318,5.992068642417685,-1.8204439606053668,49.88530033564497,204.8500061035156,216.6999969482422,-21.610582525646485,-11.909287390884026,204.435213470459,209.72976411215956,199.14066282875842,7.5088620867047995,-0.012911749891200142,68523700,154.14682736489698,-2.9089192963039356,1.6423821318490628,2.6472753208502775,1320817.7845960676
2020-12-24,210.52999877929688,210.6999969482422,208.6000061035156,209.52999877929688,203.8359375,754900,204.40408325195312,204.53736038208007,189.40698059082033,204.498649758108,200.65632132391622,3.842328434191785,5.627979850296612,-1.7856514161048267,53.16187991311901,204.8500061035156,216.6999969482422,-4.780962167187035,-8.557461725304252,204.53736038208007,209.73150594864669,199.34321481551345,7.229438781738277,0.009858701921111379,69278600,153.96189259995862,-0.15214432888350782,1.0101527572546898,2.5970727832833145,1323478.7180501164
2020-12-28,211.0,211.22999572753903,209.3800048828125,209.94000244140625,204.23480224609372,1715700,203.9351776123047,204.62734603881836,190.12433166503905,204.39669402609138,200.89184844807056,3.50484557802082,5.270849567075647,-1.766003989054827,43.43476808267338,204.8500061035156,216.6999969482422,-8.557547569472352,-11.649697420768623,204.62734603881836,209.699983017501,199.5547090601357,7.408325195312494,-0.0021907060849852833,67562900,154.22962884524117,-1.1371243101533923,0.8907873528225085,2.5363184893413266,1413684.2196618924
2020-12-29,211.3999938964844,211.3999938964844,207.8800048828125,209.1300048828125,203.4468231201172,1527600,203.91571655273438,204.65312423706055,190.86631469726564,204.37178759839944,201.13947465533153,3.2323129430679103,4.917648769264682,-1.6853358261967717,47.45837503161732,204.8500061035156,216.6999969482422,-5.191597744530319,-6.176702493729902,204.65312423706055,209.71155042725633,199.59469804686478,7.370359148297991,0.0019567930512436327,69090500,154.28231546286435,-0.04762114922671756,0.25307573756581103,2.52921309509788,1399131.8507146535
2020-12-30,210.0,211.58999633789065,209.55999755859372,210.9499969482422,205.2173767089844,1602100,203.61803588867187,204.90654525756835,191.54896484375,204.2294853709714,201.31038935642675,2.9190960145446354,4.580581604025328,-1.6614855894806926,43.512813093983915,204.8500061035156,216.6999969482422,-11.84121575944377,-8.53012035781548,204.90654525756835,209.07004698712916,200.74304352800755,7.415366036551341,-0.003858202017044343,67488400,154.3883595422698,-0.7262798817777472,2.5549255064658327,2.0817508647804037,1164607.5640249858
